"STATISTIC Label","Year","Age Group","Sex","Region","UNIT","VALUE"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","State","Thousand","4574.9"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","Border","Thousand","391.9"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","West","Thousand","440.8"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","Mid-West","Thousand","466.8"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","South-East","Thousand","410.3"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","South-West","Thousand","662.3"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","Dublin","Thousand","1261.5"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","Mid-East","Thousand","657.4"
"Estimated Population (Persons in April)","2011","All ages","Both sexes","Midland","Thousand","283.8"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","State","Thousand","4593.7"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Border","Thousand","392.1"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","West","Thousand","439.4"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Mid-West","Thousand","470.6"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","South-East","Thousand","411.6"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","South-West","Thousand","667.4"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Dublin","Thousand","1260.6"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Mid-East","Thousand","664.7"
"Estimated Population (Persons in April)","2012","All ages","Both sexes","Midland","Thousand","287.2"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","State","Thousand","4614.7"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","Border","Thousand","393.1"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","West","Thousand","441.7"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","Mid-West","Thousand","470.7"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","South-East","Thousand","413.7"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","South-West","Thousand","673.8"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","Dublin","Thousand","1265.9"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","Mid-East","Thousand","666.4"
"Estimated Population (Persons in April)","2013","All ages","Both sexes","Midland","Thousand","289.3"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","State","Thousand","4645.4"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","Border","Thousand","392"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","West","Thousand","441.1"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","Mid-West","Thousand","471.8"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","South-East","Thousand","413.5"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","South-West","Thousand","679.5"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","Dublin","Thousand","1286.4"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","Mid-East","Thousand","671.4"
"Estimated Population (Persons in April)","2014","All ages","Both sexes","Midland","Thousand","289.8"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","State","Thousand","4687.8"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","Border","Thousand","391.9"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","West","Thousand","442.2"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","Mid-West","Thousand","473.4"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","South-East","Thousand","415.6"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","South-West","Thousand","678.9"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","Dublin","Thousand","1315.3"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","Mid-East","Thousand","679.3"
"Estimated Population (Persons in April)","2015","All ages","Both sexes","Midland","Thousand","291.1"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","State","Thousand","4739.6"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","Border","Thousand","393.3"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","West","Thousand","447.5"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","Mid-West","Thousand","472.5"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","South-East","Thousand","421.2"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","South-West","Thousand","685"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","Dublin","Thousand","1335.9"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","Mid-East","Thousand","690.9"
"Estimated Population (Persons in April)","2016","All ages","Both sexes","Midland","Thousand","293.4"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","State","Thousand","4810.9"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Border","Thousand","400.3"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","West","Thousand","453.1"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Mid-West","Thousand","480.2"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","South-East","Thousand","426.5"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","South-West","Thousand","694.1"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Dublin","Thousand","1351.5"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Mid-East","Thousand","705.9"
"Estimated Population (Persons in April)","2017","All ages","Both sexes","Midland","Thousand","299.3"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","State","Thousand","4884.9"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Border","Thousand","405.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","West","Thousand","458.7"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Mid-West","Thousand","489"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","South-East","Thousand","431.5"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","South-West","Thousand","702.9"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Dublin","Thousand","1373.1"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Mid-East","Thousand","719.3"
"Estimated Population (Persons in April)","2018","All ages","Both sexes","Midland","Thousand","304.7"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","State","Thousand","4958.5"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Border","Thousand","409.9"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","West","Thousand","464.8"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Mid-West","Thousand","493.4"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","South-East","Thousand","440.1"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","South-West","Thousand","710.6"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Dublin","Thousand","1398.8"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Mid-East","Thousand","731.9"
"Estimated Population (Persons in April)","2019","All ages","Both sexes","Midland","Thousand","309"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","State","Thousand","5029.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Border","Thousand","412"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","West","Thousand","472.2"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Mid-West","Thousand","497.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","South-East","Thousand","444.9"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","South-West","Thousand","723.3"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Dublin","Thousand","1422.4"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Mid-East","Thousand","747.2"
"Estimated Population (Persons in April)","2020","All ages","Both sexes","Midland","Thousand","309.9"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","State","Thousand","5074.7"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","Border","Thousand","417.1"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","West","Thousand","475.4"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","Mid-West","Thousand","499.6"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","South-East","Thousand","451.2"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","South-West","Thousand","727.4"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","Dublin","Thousand","1434.6"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","Mid-East","Thousand","755.3"
"Estimated Population (Persons in April)","2021","All ages","Both sexes","Midland","Thousand","314.2"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","State","Thousand","5184"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","Border","Thousand","422.2"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","West","Thousand","486.7"
"Estimated Population (Persons in April)","2022","All ages","Both sexes","Mid-West","Thousand","508.7"
