"Statistic Label","Year","Sex","Citizenship","UNIT","VALUE"
"Estimated Immigration (Persons in April)","1996","Both sexes","All Countries","Thousand","39.2"
"Estimated Immigration (Persons in April)","1997","Both sexes","All Countries","Thousand","44.5"
"Estimated Immigration (Persons in April)","1998","Both sexes","All Countries","Thousand","46"
"Estimated Immigration (Persons in April)","1999","Both sexes","All Countries","Thousand","48.9"
"Estimated Immigration (Persons in April)","2000","Both sexes","All Countries","Thousand","52.6"
"Estimated Immigration (Persons in April)","2001","Both sexes","All Countries","Thousand","59"
"Estimated Immigration (Persons in April)","2002","Both sexes","All Countries","Thousand","66.9"
"Estimated Immigration (Persons in April)","2003","Both sexes","All Countries","Thousand","60"
"Estimated Immigration (Persons in April)","2004","Both sexes","All Countries","Thousand","58.5"
"Estimated Immigration (Persons in April)","2005","Both sexes","All Countries","Thousand","84.6"
"Estimated Immigration (Persons in April)","2006","Both sexes","All Countries","Thousand","107.8"
"Estimated Immigration (Persons in April)","2007","Both sexes","All Countries","Thousand","151.1"
"Estimated Immigration (Persons in April)","2008","Both sexes","All Countries","Thousand","113.5"
"Estimated Immigration (Persons in April)","2009","Both sexes","All Countries","Thousand","73.7"
"Estimated Immigration (Persons in April)","2010","Both sexes","All Countries","Thousand","41.8"
"Estimated Immigration (Persons in April)","2011","Both sexes","All Countries","Thousand","53.3"
"Estimated Immigration (Persons in April)","2012","Both sexes","All Countries","Thousand","57.3"
"Estimated Immigration (Persons in April)","2013","Both sexes","All Countries","Thousand","62.7"
"Estimated Immigration (Persons in April)","2014","Both sexes","All Countries","Thousand","66.5"
"Estimated Immigration (Persons in April)","2015","Both sexes","All Countries","Thousand","75.9"
"Estimated Immigration (Persons in April)","2016","Both sexes","All Countries","Thousand","82.3"
"Estimated Immigration (Persons in April)","2017","Both sexes","All Countries","Thousand","95.3"
"Estimated Immigration (Persons in April)","2018","Both sexes","All Countries","Thousand","96"
"Estimated Immigration (Persons in April)","2019","Both sexes","All Countries","Thousand","97.1"
"Estimated Immigration (Persons in April)","2020","Both sexes","All Countries","Thousand","95.6"
"Estimated Immigration (Persons in April)","2021","Both sexes","All Countries","Thousand","74.1"
"Estimated Immigration (Persons in April)","2022","Both sexes","All Countries","Thousand","107.8"
"Estimated Immigration (Persons in April)","2023","Both sexes","All Countries","Thousand","141.6"
