"STATISTIC Label","Quarter","Type of Offence","UNIT","VALUE"
"Recorded crime incidents (Under Reservation)","2003Q1","Homicide offences","Number","28"
"Recorded crime incidents (Under Reservation)","2003Q1","Murder","Number","10"
"Recorded crime incidents (Under Reservation)","2003Q1","Manslaughter","Number","7"
"Recorded crime incidents (Under Reservation)","2003Q1","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q1","Dangerous driving leading to death","Number","11"
"Recorded crime incidents (Under Reservation)","2003Q1","Sexual offences","Number","575"
"Recorded crime incidents (Under Reservation)","2003Q1","Rape of a male or female","Number","105"
"Recorded crime incidents (Under Reservation)","2003Q1","Defilement of a boy or girl less than 17 years old","Number","47"
"Recorded crime incidents (Under Reservation)","2003Q1","Sexual offence involving mentally impaired person","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q1","Aggravated sexual assault","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q1","Sexual assault (not aggravated)","Number","375"
"Recorded crime incidents (Under Reservation)","2003Q1","Other sexual offences","Number","42"
"Recorded crime incidents (Under Reservation)","2003Q1","Attempts/threats to murder, assaults, harassments and related offences","Number","3637"
"Recorded crime incidents (Under Reservation)","2003Q1","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q1","Threat to kill or cause serious harm","Number","9"
"Recorded crime incidents (Under Reservation)","2003Q1","Harassment and related offences","Number","347"
"Recorded crime incidents (Under Reservation)","2003Q1","Assault causing harm, poisoning","Number","1144"
"Recorded crime incidents (Under Reservation)","2003Q1","Other assault","Number","2135"
"Recorded crime incidents (Under Reservation)","2003Q1","Dangerous or negligent acts","Number","2745"
"Recorded crime incidents (Under Reservation)","2003Q1","Dangerous driving causing serious bodily harm","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q1","Driving/in charge of a vehicle while over legal alcohol limit","Number","2634"
"Recorded crime incidents (Under Reservation)","2003Q1","Driving/in charge of a vehicle under the influence of drugs","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q1","Endangerment with potential for serious harm/death","Number","16"
"Recorded crime incidents (Under Reservation)","2003Q1","Abandoning a child, child neglect and cruelty","Number","32"
"Recorded crime incidents (Under Reservation)","2003Q1","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q1","False alarm/interference with aircraft or air transport facilities","Number","5"
"Recorded crime incidents (Under Reservation)","2003Q1","Endangering traffic offences","Number","32"
"Recorded crime incidents (Under Reservation)","2003Q1","Kidnapping and related offences","Number","38"
"Recorded crime incidents (Under Reservation)","2003Q1","False imprisonment","Number","31"
"Recorded crime incidents (Under Reservation)","2003Q1","Abduction of person under 16 years of age","Number","7"
"Recorded crime incidents (Under Reservation)","2003Q1","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q1","Robbery, extortion and hijacking offences","Number","842"
"Recorded crime incidents (Under Reservation)","2003Q1","Robbery of an establishment or institution","Number","327"
"Recorded crime incidents (Under Reservation)","2003Q1","Robbery of cash or goods in transit","Number","15"
"Recorded crime incidents (Under Reservation)","2003Q1","Robbery from the person","Number","474"
"Recorded crime incidents (Under Reservation)","2003Q1","Blackmail or extortion","Number","5"
"Recorded crime incidents (Under Reservation)","2003Q1","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","21"
"Recorded crime incidents (Under Reservation)","2003Q1","Burglary and related offences","Number","6581"
"Recorded crime incidents (Under Reservation)","2003Q1","Aggravated burglary","Number","94"
"Recorded crime incidents (Under Reservation)","2003Q1","Burglary (not aggravated)","Number","6424"
"Recorded crime incidents (Under Reservation)","2003Q1","Possession of an article (with intent to burgle, steal, demand)","Number","63"
"Recorded crime incidents (Under Reservation)","2003Q1","Theft and related offences","Number","18408"
"Recorded crime incidents (Under Reservation)","2003Q1","Theft/taking of vehicle and related offences","Number","3366"
"Recorded crime incidents (Under Reservation)","2003Q1","Theft from person","Number","1640"
"Recorded crime incidents (Under Reservation)","2003Q1","Theft from shop","Number","3850"
"Recorded crime incidents (Under Reservation)","2003Q1","Other thefts, handling stolen property","Number","9552"
"Recorded crime incidents (Under Reservation)","2003Q1","Fraud, deception and related offences","Number","1136"
"Recorded crime incidents (Under Reservation)","2003Q1","Controlled drug offences","Number","1883"
"Recorded crime incidents (Under Reservation)","2003Q1","Importation of drugs","Number","9"
"Recorded crime incidents (Under Reservation)","2003Q1","Cultivation or manufacture of drugs","Number","12"
"Recorded crime incidents (Under Reservation)","2003Q1","Possession of drugs for sale or supply","Number","574"
"Recorded crime incidents (Under Reservation)","2003Q1","Possession of drugs for personal use","Number","1214"
"Recorded crime incidents (Under Reservation)","2003Q1","Other drug offences","Number","74"
"Recorded crime incidents (Under Reservation)","2003Q1","Weapons and Explosives Offences","Number","513"
"Recorded crime incidents (Under Reservation)","2003Q1","Explosives, chemical weapons offences","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q1","Discharging a firearm","Number","54"
"Recorded crime incidents (Under Reservation)","2003Q1","Possession of a firearm","Number","127"
"Recorded crime incidents (Under Reservation)","2003Q1","Offensive weapons offences (n.e.c.)","Number","330"
"Recorded crime incidents (Under Reservation)","2003Q1","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q1","Damage to property and to the environment","Number","8729"
"Recorded crime incidents (Under Reservation)","2003Q1","Arson","Number","341"
"Recorded crime incidents (Under Reservation)","2003Q1","Criminal damage (not arson)","Number","8366"
"Recorded crime incidents (Under Reservation)","2003Q1","Litter offences","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q1","Public order and other social code offences","Number","9769"
"Recorded crime incidents (Under Reservation)","2003Q1","Disorderly conduct","Number","8479"
"Recorded crime incidents (Under Reservation)","2003Q1","Trespass offences","Number","346"
"Recorded crime incidents (Under Reservation)","2003Q1","Liquor licensing offences","Number","647"
"Recorded crime incidents (Under Reservation)","2003Q1","Prostitution offences","Number","39"
"Recorded crime incidents (Under Reservation)","2003Q1","Regulated betting/money, collection/trading offences","Number","48"
"Recorded crime incidents (Under Reservation)","2003Q1","Social code offences (n.e.c.)","Number","210"
"Recorded crime incidents (Under Reservation)","2003Q1","Offences against government, justice procedures and organisation of crime","Number","1773"
"Recorded crime incidents (Under Reservation)","2003Q1","Offences against government and its agents","Number","61"
"Recorded crime incidents (Under Reservation)","2003Q1","Organisation of crime and conspiracy to commit crime","Number","7"
"Recorded crime incidents (Under Reservation)","2003Q1","Perverting the course of justice","Number","48"
"Recorded crime incidents (Under Reservation)","2003Q1","Offences while in custody, breach of court orders","Number","1657"
"Recorded crime incidents (Under Reservation)","2003Q2","Homicide offences","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q2","Murder","Number","8"
"Recorded crime incidents (Under Reservation)","2003Q2","Manslaughter","Number","3"
"Recorded crime incidents (Under Reservation)","2003Q2","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q2","Dangerous driving leading to death","Number","11"
"Recorded crime incidents (Under Reservation)","2003Q2","Sexual offences","Number","382"
"Recorded crime incidents (Under Reservation)","2003Q2","Rape of a male or female","Number","80"
"Recorded crime incidents (Under Reservation)","2003Q2","Defilement of a boy or girl less than 17 years old","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q2","Sexual offence involving mentally impaired person","Number","8"
"Recorded crime incidents (Under Reservation)","2003Q2","Aggravated sexual assault","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q2","Sexual assault (not aggravated)","Number","240"
"Recorded crime incidents (Under Reservation)","2003Q2","Other sexual offences","Number","30"
"Recorded crime incidents (Under Reservation)","2003Q2","Attempts/threats to murder, assaults, harassments and related offences","Number","3373"
"Recorded crime incidents (Under Reservation)","2003Q2","Murder-attempt","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q2","Threat to kill or cause serious harm","Number","13"
"Recorded crime incidents (Under Reservation)","2003Q2","Harassment and related offences","Number","243"
"Recorded crime incidents (Under Reservation)","2003Q2","Assault causing harm, poisoning","Number","1010"
"Recorded crime incidents (Under Reservation)","2003Q2","Other assault","Number","2107"
"Recorded crime incidents (Under Reservation)","2003Q2","Dangerous or negligent acts","Number","2971"
"Recorded crime incidents (Under Reservation)","2003Q2","Dangerous driving causing serious bodily harm","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q2","Driving/in charge of a vehicle while over legal alcohol limit","Number","2843"
"Recorded crime incidents (Under Reservation)","2003Q2","Driving/in charge of a vehicle under the influence of drugs","Number","16"
"Recorded crime incidents (Under Reservation)","2003Q2","Endangerment with potential for serious harm/death","Number","12"
"Recorded crime incidents (Under Reservation)","2003Q2","Abandoning a child, child neglect and cruelty","Number","64"
"Recorded crime incidents (Under Reservation)","2003Q2","Unseaworthy/dangerous use of boat or ship","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q2","False alarm/interference with aircraft or air transport facilities","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q2","Endangering traffic offences","Number","30"
"Recorded crime incidents (Under Reservation)","2003Q2","Kidnapping and related offences","Number","20"
"Recorded crime incidents (Under Reservation)","2003Q2","False imprisonment","Number","17"
"Recorded crime incidents (Under Reservation)","2003Q2","Abduction of person under 16 years of age","Number","3"
"Recorded crime incidents (Under Reservation)","2003Q2","Human trafficking offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q2","Robbery, extortion and hijacking offences","Number","698"
"Recorded crime incidents (Under Reservation)","2003Q2","Robbery of an establishment or institution","Number","236"
"Recorded crime incidents (Under Reservation)","2003Q2","Robbery of cash or goods in transit","Number","18"
"Recorded crime incidents (Under Reservation)","2003Q2","Robbery from the person","Number","429"
"Recorded crime incidents (Under Reservation)","2003Q2","Blackmail or extortion","Number","3"
"Recorded crime incidents (Under Reservation)","2003Q2","Carjacking, hijacking/unlawful seizure of aircraft/vessel","Number","12"
"Recorded crime incidents (Under Reservation)","2003Q2","Burglary and related offences","Number","6215"
"Recorded crime incidents (Under Reservation)","2003Q2","Aggravated burglary","Number","68"
"Recorded crime incidents (Under Reservation)","2003Q2","Burglary (not aggravated)","Number","6089"
"Recorded crime incidents (Under Reservation)","2003Q2","Possession of an article (with intent to burgle, steal, demand)","Number","58"
"Recorded crime incidents (Under Reservation)","2003Q2","Theft and related offences","Number","18572"
"Recorded crime incidents (Under Reservation)","2003Q2","Theft/taking of vehicle and related offences","Number","3311"
"Recorded crime incidents (Under Reservation)","2003Q2","Theft from person","Number","1687"
"Recorded crime incidents (Under Reservation)","2003Q2","Theft from shop","Number","3867"
"Recorded crime incidents (Under Reservation)","2003Q2","Other thefts, handling stolen property","Number","9707"
"Recorded crime incidents (Under Reservation)","2003Q2","Fraud, deception and related offences","Number","691"
"Recorded crime incidents (Under Reservation)","2003Q2","Controlled drug offences","Number","2481"
"Recorded crime incidents (Under Reservation)","2003Q2","Importation of drugs","Number","9"
"Recorded crime incidents (Under Reservation)","2003Q2","Cultivation or manufacture of drugs","Number","14"
"Recorded crime incidents (Under Reservation)","2003Q2","Possession of drugs for sale or supply","Number","676"
"Recorded crime incidents (Under Reservation)","2003Q2","Possession of drugs for personal use","Number","1673"
"Recorded crime incidents (Under Reservation)","2003Q2","Other drug offences","Number","109"
"Recorded crime incidents (Under Reservation)","2003Q2","Weapons and Explosives Offences","Number","455"
"Recorded crime incidents (Under Reservation)","2003Q2","Explosives, chemical weapons offences","Number","6"
"Recorded crime incidents (Under Reservation)","2003Q2","Discharging a firearm","Number","45"
"Recorded crime incidents (Under Reservation)","2003Q2","Possession of a firearm","Number","76"
"Recorded crime incidents (Under Reservation)","2003Q2","Offensive weapons offences (n.e.c.)","Number","328"
"Recorded crime incidents (Under Reservation)","2003Q2","Fireworks offences","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q2","Damage to property and to the environment","Number","8698"
"Recorded crime incidents (Under Reservation)","2003Q2","Arson","Number","359"
"Recorded crime incidents (Under Reservation)","2003Q2","Criminal damage (not arson)","Number","8317"
"Recorded crime incidents (Under Reservation)","2003Q2","Litter offences","Number","22"
"Recorded crime incidents (Under Reservation)","2003Q2","Public order and other social code offences","Number","11162"
"Recorded crime incidents (Under Reservation)","2003Q2","Disorderly conduct","Number","9232"
"Recorded crime incidents (Under Reservation)","2003Q2","Trespass offences","Number","358"
"Recorded crime incidents (Under Reservation)","2003Q2","Liquor licensing offences","Number","1111"
"Recorded crime incidents (Under Reservation)","2003Q2","Prostitution offences","Number","60"
"Recorded crime incidents (Under Reservation)","2003Q2","Regulated betting/money, collection/trading offences","Number","67"
"Recorded crime incidents (Under Reservation)","2003Q2","Social code offences (n.e.c.)","Number","334"
"Recorded crime incidents (Under Reservation)","2003Q2","Offences against government, justice procedures and organisation of crime","Number","1623"
"Recorded crime incidents (Under Reservation)","2003Q2","Offences against government and its agents","Number","49"
"Recorded crime incidents (Under Reservation)","2003Q2","Organisation of crime and conspiracy to commit crime","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q2","Perverting the course of justice","Number","59"
"Recorded crime incidents (Under Reservation)","2003Q2","Offences while in custody, breach of court orders","Number","1513"
"Recorded crime incidents (Under Reservation)","2003Q3","Homicide offences","Number","29"
"Recorded crime incidents (Under Reservation)","2003Q3","Murder","Number","10"
"Recorded crime incidents (Under Reservation)","2003Q3","Manslaughter","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q3","Infanticide","Number","0"
"Recorded crime incidents (Under Reservation)","2003Q3","Dangerous driving leading to death","Number","15"
"Recorded crime incidents (Under Reservation)","2003Q3","Sexual offences","Number","339"
"Recorded crime incidents (Under Reservation)","2003Q3","Rape of a male or female","Number","70"
"Recorded crime incidents (Under Reservation)","2003Q3","Defilement of a boy or girl less than 17 years old","Number","21"
"Recorded crime incidents (Under Reservation)","2003Q3","Sexual offence involving mentally impaired person","Number","6"
"Recorded crime incidents (Under Reservation)","2003Q3","Aggravated sexual assault","Number","4"
"Recorded crime incidents (Under Reservation)","2003Q3","Sexual assault (not aggravated)","Number","222"
"Recorded crime incidents (Under Reservation)","2003Q3","Other sexual offences","Number","16"
"Recorded crime incidents (Under Reservation)","2003Q3","Attempts/threats to murder, assaults, harassments and related offences","Number","3453"
"Recorded crime incidents (Under Reservation)","2003Q3","Murder-attempt","Number","2"
"Recorded crime incidents (Under Reservation)","2003Q3","Threat to kill or cause serious harm","Number","16"
"Recorded crime incidents (Under Reservation)","2003Q3","Harassment and related offences","Number","228"
"Recorded crime incidents (Under Reservation)","2003Q3","Assault causing harm, poisoning","Number","952"
"Recorded crime incidents (Under Reservation)","2003Q3","Other assault","Number","2255"
