"STATISTIC Label","Quarter","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carlow","Euro","805.82"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carlow Town","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Graiguecullen, Carlow","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Tullow, Carlow","Euro","727.62"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cavan","Euro","587.92"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cavan Town","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Bailieborough, Cavan","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballyconnell, Cavan","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballyjamesduff, Cavan","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Belturbet, Cavan","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cootehill, Cavan","Euro","572.56"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kingscourt, Cavan","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Virginia, Cavan","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clare","Euro","716.57"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ennis, Clare","Euro","700.76"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Killaloe, Clare","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kilrush, Clare","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Newmarket-On-Fergus, Clare","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Shannon, Clare","Euro","760.81"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Sixmilebridge, Clare","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cork","Euro","952.03"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cork City","Euro","1040.87"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballincollig, Cork","Euro","1043.01"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballintemple, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballinure, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Bandon, Cork","Euro","842.66"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Bantry, Cork","Euro","654.58"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Bishopstown, Cork","Euro","1187.96"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Blackpool, Cork","Euro","942.99"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Blackrock, Cork","Euro","1141.22"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Blarney, Cork","Euro","913.35"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carrigaline, Cork","Euro","957.13"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carrigtwohill, Cork","Euro","900.29"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Castlemartyr, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Charleville, Cork","Euro","719.06"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Clonakilty, Cork","Euro","806.47"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cloyne, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Cobh, Cork","Euro","801.06"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Crosshaven, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Douglas, Cork","Euro","1108.99"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dunmanway, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Fermoy, Cork","Euro","730.48"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Frankfield, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Glanmire, Cork","Euro","1053.35"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kanturk, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Kinsale, Cork","Euro","1003.71"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Macroom, Cork","Euro","762.83"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Mallow, Cork","Euro","744.22"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Midleton, Cork","Euro","916.06"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Millstreet, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Mitchelstown, Cork","Euro","625.07"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Montenotte, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Passage West, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rathcormac, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Rochestown, Cork","Euro","1078.44"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Skibbereen, Cork","Euro","679.83"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Tivoli, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Tower, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Wilton, Cork","Euro","1073.93"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Youghal, Cork","Euro","724"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Donegal","Euro","581.26"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Donegal Town","Euro","691.06"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Ballybofey, Donegal","Euro","581.24"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Buncrana, Donegal","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Bundoran, Donegal","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Carndonagh, Donegal","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Letterkenny, Donegal","Euro","579.75"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Lifford, Donegal","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Stranorlar, Donegal","Euro",""
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Dublin","Euro","1312.6"
"RTB Average Monthly Rent Report","2007Q4","All bedrooms","All property types","Balbriggan, Dublin","Euro","1053.6"
