Year,Population_Total,"Attempts/threats to murder, assaults, harassments and related offences",Burglary and related offences,Controlled drug offences,Damage to property and to the environment,Dangerous or negligent acts,"Fraud, deception and related offences",Kidnapping and related offences,"Offences against government, justice procedures and organisation of crime",Public order and other social code offences,"Robbery, extortion and hijacking offences",Theft and related offences,Weapons and Explosives Offences,Total_Crime
2003,3979900.0,13536,25755,9295,34023,11962,3637,97,6837,45142,2911,73419,1914,228528
2004,4045200.0,13272,24898,9914,37037,12669,3176,75,6458,47781,2716,72189,2155,232340
2005,4133800.0,13683,26372,13346,39715,14705,3739,74,7787,55483,2423,73033,2553,252913
2006,4232900.0,15558,24820,14230,43588,19197,4337,82,9481,56597,2489,74516,3123,268018
2007,4375800.0,18139,24011,18522,43276,20728,6274,108,10916,60701,2204,75128,3598,283605
2008,4485100.0,19716,25279,23354,44343,19223,5747,75,13190,62073,2329,76805,4028,296162
2009,4533400.0,18914,27519,21865,41904,15031,5227,142,11753,57479,2523,76911,4091,283359
2010,4554800.0,18233,26115,19782,38796,11697,5509,132,11194,54851,3237,76644,4116,270306
2011,4574900.0,17166,28209,17567,35134,9688,5496,115,10017,48948,2953,76657,3484,255434
2012,4593700.0,15707,28466,16375,32124,8843,5710,97,9431,43785,2812,76117,3042,242509
2013,4614700.0,14367,26311,15324,28765,7491,4795,121,9173,36394,2796,78427,2737,226701
2014,4645400.0,15170,27710,15859,27332,7229,5163,124,9778,32604,2649,77632,2473,223723
2015,4687800.0,16916,26321,15047,25943,7117,5792,151,11470,33252,2574,75691,2375,222649
2016,4739600.0,16724,18584,16017,22172,7689,4926,125,12365,29201,2106,64456,2134,196499
2017,4810900.0,18992,19206,16756,23134,8365,5401,131,13854,31178,2184,69258,2378,210837
2018,4884900.0,20187,16957,18273,21517,8561,6308,135,16545,31963,2445,66911,2442,212244
2019,4958500.0,21839,16752,21310,21917,8702,7919,127,18025,32396,2344,68144,2687,222162
2020,5029900.0,19073,10885,23127,19520,8746,7851,133,10968,29028,1822,51461,3088,185702
2021,5074700.0,20352,8587,20022,19288,8281,17091,150,12268,28390,1734,46791,2526,185480
2022,5184000.0,23838,9465,17287,21689,8211,11646,156,14631,31264,2068,65839,2624,208718
