,Offence_ID,Type of Offence,VALUE
0,0,"Abandoning a child, child neglect and cruelty",6411.0
1,1,Abduction of person under 16 years of age,413.0
2,2,Aggravated burglary,5813.0
3,3,Aggravated sexual assault,192.0
4,4,Arson,37219.0
5,5,"Assault causing harm, poisoning",82446.0
6,6,"Attempts/threats to murder, assaults, harassments and related offences",363022.0
7,7,Blackmail or extortion,2383.0
8,8,Burglary (not aggravated),432646.0
9,9,Burglary and related offences,446804.0
10,10,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",2149.0
11,11,Controlled drug offences,352130.0
12,12,Criminal damage (not arson),591333.0
13,13,Cultivation or manufacture of drugs,5199.0
14,14,Damage to property and to the environment,632496.0
15,15,Dangerous driving causing serious bodily harm,473.0
16,16,Dangerous driving leading to death,911.0
17,17,Dangerous or negligent acts,228006.0
18,18,Defilement of a boy or girl less than 17 years old,2707.0
19,19,Discharging a firearm,3487.0
20,20,Disorderly conduct,721571.0
21,21,Driving/in charge of a vehicle under the influence of drugs,14486.0
22,22,Driving/in charge of a vehicle while over legal alcohol limit,199541.0
23,23,Endangering traffic offences,4309.0
24,24,Endangerment with potential for serious harm/death,2522.0
25,25,"Explosives, chemical weapons offences",1212.0
26,26,False alarm/interference with aircraft or air transport facilities,210.0
27,27,False imprisonment,1638.0
28,28,Fireworks offences,3809.0
29,29,"Fraud, deception and related offences",131063.0
30,30,Harassment and related offences,37286.0
31,31,Homicide offences,1996.0
32,32,Human trafficking offences,366.0
33,33,Importation of drugs,702.0
34,34,Infanticide,2.0
35,35,Kidnapping and related offences,2417.0
36,36,Liquor licensing offences,52822.0
37,37,Litter offences,3944.0
38,38,Manslaughter,202.0
39,39,Murder,881.0
40,40,Murder-attempt,236.0
41,41,Offences against government and its agents,5925.0
42,42,"Offences against government, justice procedures and organisation of crime",233142.0
43,43,"Offences while in custody, breach of court orders",224674.0
44,44,Offensive weapons offences (n.e.c.),44445.0
45,45,Organisation of crime and conspiracy to commit crime,247.0
46,46,Other assault,230305.0
47,47,Other drug offences,12995.0
48,48,Other sexual offences,4837.0
49,49,"Other thefts, handling stolen property",759515.0
50,50,Perverting the course of justice,2296.0
51,51,Possession of a firearm,5890.0
52,52,"Possession of an article (with intent to burgle, steal, demand)",8345.0
53,53,Possession of drugs for personal use,255298.0
54,54,Possession of drugs for sale or supply,77936.0
55,55,Prostitution offences,2203.0
56,56,Public order and other social code offences,862802.0
57,57,Rape of a male or female,11314.0
58,58,"Regulated betting/money, collection/trading offences",5640.0
59,59,Robbery from the person,28240.0
60,60,Robbery of an establishment or institution,17201.0
61,61,Robbery of cash or goods in transit,580.0
62,62,"Robbery, extortion and hijacking offences",50553.0
63,63,Sexual assault (not aggravated),27327.0
64,64,Sexual offence involving mentally impaired person,340.0
65,65,Sexual offences,46717.0
66,66,Social code offences (n.e.c.),26346.0
67,67,Theft and related offences,1452357.0
68,68,Theft from person,83851.0
69,69,Theft from shop,423687.0
70,70,Theft/taking of vehicle and related offences,185304.0
71,71,Threat to kill or cause serious harm,12749.0
72,72,Trespass offences,54220.0
73,73,Unseaworthy/dangerous use of boat or ship,54.0
74,74,Weapons and Explosives Offences,58843.0
