Year,Population_Total,"Abandoning a child, child neglect and cruelty",Abduction of person under 16 years of age,Aggravated burglary,Aggravated sexual assault,Arson,"Assault causing harm, poisoning","Attempts/threats to murder, assaults, harassments and related offences",Blackmail or extortion,Burglary (not aggravated),Burglary and related offences,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Controlled drug offences,Criminal damage (not arson),Cultivation or manufacture of drugs,Damage to property and to the environment,Dangerous driving causing serious bodily harm,Dangerous driving leading to death,Dangerous or negligent acts,Defilement of a boy or girl less than 17 years old,Discharging a firearm,Disorderly conduct,Driving/in charge of a vehicle under the influence of drugs,Driving/in charge of a vehicle while over legal alcohol limit,Endangering traffic offences,Endangerment with potential for serious harm/death,"Explosives, chemical weapons offences",False alarm/interference with aircraft or air transport facilities,False imprisonment,Fireworks offences,"Fraud, deception and related offences",Harassment and related offences,Homicide offences,Human trafficking offences,Importation of drugs,Infanticide,Kidnapping and related offences,Liquor licensing offences,Litter offences,Manslaughter,Murder,Murder-attempt,Offences against government and its agents,"Offences against government, justice procedures and organisation of crime","Offences while in custody, breach of court orders",Offensive weapons offences (n.e.c.),Organisation of crime and conspiracy to commit crime,Other assault,Other drug offences,Other sexual offences,"Other thefts, handling stolen property",Perverting the course of justice,Possession of a firearm,"Possession of an article (with intent to burgle, steal, demand)",Possession of drugs for personal use,Possession of drugs for sale or supply,Prostitution offences,Public order and other social code offences,Rape of a male or female,"Regulated betting/money, collection/trading offences",Robbery from the person,Robbery of an establishment or institution,Robbery of cash or goods in transit,"Robbery, extortion and hijacking offences",Sexual assault (not aggravated),Sexual offence involving mentally impaired person,Sexual offences,Social code offences (n.e.c.),Theft and related offences,Theft from person,Theft from shop,Theft/taking of vehicle and related offences,Threat to kill or cause serious harm,Trespass offences,Unseaworthy/dangerous use of boat or ship,Weapons and Explosives Offences,Total_Crime,crime_rate
2003,3979900.0,44.5,6.0,81.75,2.75,0.053111905172814465,0.03185860667996855,3384.0,0.4364357804719848,6301.75,6438.75,4.769696007084728,2323.75,8129.5,18.0,8505.75,2.23606797749979,12.25,0.01828639500010823,28.0,52.5,9416.25,4.387482193696061,53.57471418495856,35.75,3.570714214271425,3.605551275463989,1.7320508075688772,18.25,0.0,0.03316334623770053,266.0,25.0,0.0,9.0,inf,24.25,32.94692701907114,21.75,4.0,8.75,1.25,49.5,1709.25,1595.25,320.75,2.75,2121.0,93.25,25.25,35831207458653.375,61.75,92.25,55.25,1626.5,577.0,49.0,11285.5,81.25,76.0,429.0,257.5,13.25,727.75,250.0,0.41702882811414954,393.0,17.291616465790582,2.5509542218000563e+31,1665.5,3922.25,3286.5,10.5,359.75,0.0,478.5,114190.75,28.691864117188874
2004,4045200.0,47.75,3.0,70.5,3.5,0.051639777949432225,0.03207089087717946,3318.0,0.5163977794943222,6104.25,6224.5,4.6097722286464435,2478.5,8857.75,9.75,9259.25,2.692582403567252,19.75,0.01776882980539046,28.25,72.75,9556.5,4.358898943540674,55.12712580935088,30.75,4.330127018922194,4.031128874149275,2.179449471770337,15.75,0.25,0.0354886720493838,244.0,31.0,0.0,9.0,inf,18.75,40.890096600521744,26.5,4.0,7.25,0.25,41.25,1614.5,1503.5,356.0,4.0,2089.75,115.0,15.75,33597658872518.26,65.75,93.5,49.75,1799.0,545.75,54.75,11945.25,102.5,79.25,369.75,269.0,15.25,679.0,216.25,0.5345224838248488,369.75,13.820274961085254,2.2446165629237295e+31,1427.25,3720.25,3589.75,11.75,391.75,0.0,538.75,116177.5,28.71984079897162
2005,4133800.0,66.0,4.0,68.5,1.75,0.053186975040914186,0.03283988132345131,3420.75,0.47140452079103173,6475.25,6593.0,4.242640687119285,3336.5,9543.25,12.5,9928.75,2.345207879911715,17.0,0.0164929172974116,28.5,77.75,10607.0,5.1478150704935,59.295868321494375,37.75,4.47213595499958,5.049752469181039,2.1213203435596424,14.5,0.75,0.03270787001061342,279.0,34.25,0.0,9.0,inf,18.5,49.20365840057018,32.0,4.25,13.0,1.75,36.75,1946.75,1852.5,426.5,1.25,2189.0,135.25,14.5,35334397856602.43,56.25,107.75,49.25,2516.75,663.0,21.25,13870.75,105.0,92.5,284.25,288.0,11.0,605.75,237.25,0.5773502691896258,390.0,16.401219466856727,2.4511362961862216e+31,1152.5,4115.75,3546.75,23.75,460.0,0.0,638.25,126370.25,30.569996129469253
2006,4232900.0,75.0,3.0,71.25,4.0,0.0490880693673816,0.03160303087599848,3889.5,0.6030226891555273,6075.25,6205.0,4.743416490252569,3557.5,10447.0,22.75,10897.0,2.449489742783178,17.5,0.014434884499147352,17.5,74.25,11811.75,5.408326913195984,68.04226627619042,37.75,4.183300132670378,6.442049363362563,2.0,17.5,9.5,0.030369335164449077,417.25,36.0,0.0,10.75,inf,20.5,37.57658845611187,35.0,3.75,14.75,2.0,59.5,2370.25,2243.75,550.75,4.75,2444.75,151.5,14.75,38985648657033.87,62.25,104.75,58.5,2622.75,749.75,26.25,14149.25,91.25,104.25,313.5,275.75,7.75,622.25,229.0,0.5163977794943222,360.25,14.300349646075091,2.854142683208179e+31,897.5,4608.75,3414.0,24.25,590.5,0.0,780.75,133717.25,31.589985589076047
2007,4375800.0,138.5,3.75,65.0,4.25,0.04364357804719848,0.03197647396955397,4534.75,0.4364357804719848,5862.75,6002.75,4.031128874149275,4630.5,10240.25,40.5,10819.0,2.5495097567963922,16.5,0.013891568848178451,17.75,82.75,12835.5,8.5,69.9052930757035,55.5,4.123105625617661,2.6457513110645907,2.29128784747792,23.25,62.5,0.02524978813938521,635.25,38.25,0.0,13.25,2.0,27.0,35.06066171651642,53.75,2.0,19.5,1.0,85.25,2729.0,2593.25,643.5,2.5,2879.5,183.5,23.0,42683248098347.23,48.0,103.75,75.0,3498.5,894.75,27.5,15175.25,88.75,135.25,320.5,204.0,5.0,551.0,203.0,0.5773502691896258,339.75,13.683932183404009,3.036507308390143e+31,727.25,4692.0,3402.75,41.0,760.5,0.5,899.5,140990.0,32.22039398509987
2008,4485100.0,136.0,3.25,82.0,3.0,0.04170288281141495,0.03226226123305515,4929.0,0.42640143271122083,6132.0,6319.75,5.408326913195984,5838.5,10434.75,54.0,11085.75,2.1213203435596424,12.0,0.014425119270309306,19.75,55.75,13396.25,13.729530217745982,66.25330180451387,63.75,3.570714214271425,3.427827300200522,3.2015621187164243,14.5,83.25,0.026382102121265308,766.25,28.25,1.0,16.75,inf,18.75,31.024184114977142,76.0,3.5,12.75,2.75,85.0,3297.5,3166.25,743.25,2.75,3148.0,182.75,17.0,39836021217496.86,43.5,113.0,105.75,4518.75,1066.25,32.75,15518.25,83.0,107.5,323.25,217.5,6.75,582.25,192.75,0.7559289460184544,317.25,9.420721840708387,3.589004337305149e+31,812.25,5006.75,3614.25,51.25,930.5,0.7071067811865476,1007.0,147335.25,32.849936456266306
2009,4533400.0,126.5,3.25,92.5,2.5,0.03646018784154863,0.03280011020855545,4728.5,0.4,6679.25,6879.75,5.0990195135927845,5466.25,9662.0,67.75,10476.0,2.0615528128088303,9.0,0.016313083466025554,27.25,58.25,12385.75,14.773286702694158,57.651973079852176,62.75,4.031128874149275,3.4641016151377544,2.29128784747792,21.0,107.25,0.02766328465264205,702.5,24.75,11.25,11.5,inf,35.5,28.570089254323307,61.75,2.5,13.25,1.75,132.75,2938.25,2767.75,744.75,1.25,3038.0,206.0,24.75,44900623908755.78,36.5,100.5,108.0,4189.75,991.25,23.5,14369.75,90.75,114.5,334.0,258.5,6.0,630.75,239.5,0.7071067811865475,386.75,8.426149773176359,3.6266818475717728e+31,658.75,5137.75,3328.0,56.75,958.75,0.8660254037844386,1022.75,141195.75,31.14566329906913
2010,4554800.0,108.5,5.5,83.0,1.75,0.039428486134387555,0.03296902366978935,4558.25,0.4082482904638631,6318.5,6528.75,5.5,4945.5,8996.5,133.0,9699.0,2.179449471770337,11.75,0.018492377510465494,39.0,44.75,11823.75,12.010412149464313,50.76908508137605,71.0,3.7416573867739413,3.24037034920393,1.3228756555322954,20.25,115.25,0.02694595681831695,649.0,27.25,7.25,7.25,inf,33.0,26.277366686941825,59.25,2.0,13.5,2.0,83.75,2798.5,2685.5,756.75,4.5,2895.5,186.75,42.75,49033873546466.445,24.75,101.75,127.25,3594.5,1024.0,46.0,13712.75,117.5,105.75,495.75,272.0,5.25,809.25,371.25,0.5163977794943222,576.0,9.7082439194738,3.532427094393757e+31,705.5,5193.75,2904.5,91.75,952.5,1.5811388300841898,1029.0,134982.25,29.635165100553262
2011,4574900.0,49.25,3.25,83.5,2.25,0.04167571185654131,0.033609885448883006,4291.5,0.4082482904638631,6811.25,7052.25,5.0,4391.75,8149.5,144.5,8783.5,1.8027756377319946,6.75,0.020319495952707323,36.0,40.75,10518.75,10.259142264341596,46.7520053045856,51.25,5.024937810560445,4.47213595499958,1.118033988749895,19.25,86.0,0.026977806394251295,522.0,19.75,6.25,10.0,inf,28.75,24.031229681395832,58.25,2.5,10.5,2.0,112.0,2504.25,2364.5,653.5,5.5,2784.0,132.5,37.75,54205376354744.48,22.25,70.75,157.5,3151.0,953.75,54.5,12237.0,111.75,74.25,428.0,268.75,10.5,738.25,298.25,0.5345224838248488,489.5,11.146748404803978,3.536966532690908e+31,910.75,4978.5,2620.75,98.25,887.75,0.8660254037844386,871.0,127361.5,27.839187741808566
2012,4593700.0,57.25,4.0,70.5,1.75,0.04344747253037812,0.03528374160166421,3926.75,0.3244428422615251,6859.0,7116.5,4.924428900898052,4093.75,7429.25,128.25,8031.0,1.3228756555322954,7.25,0.02126817294382978,32.25,35.75,9330.0,8.306623862918075,44.844174649557324,51.75,4.123105625617661,4.743416490252569,1.4142135623730951,16.25,67.0,0.026467440262434413,480.25,22.0,4.0,7.5,inf,24.25,21.805962487356524,72.0,2.0,12.75,2.25,68.5,2357.75,2262.75,573.75,1.5,2574.0,145.25,35.25,56290542812525.36,25.0,61.5,187.0,2948.5,864.25,35.5,10946.25,114.0,74.0,403.5,253.5,12.25,703.0,304.75,0.4082482904638631,494.0,14.186260959111108,3.352610795387089e+31,1253.25,4887.75,2120.0,67.0,830.0,1.0,760.5,120859.0,26.309728541263034
