,Year,Type of Offence,UNIT,VALUE
0,2003,Homicide offences,Number,28.0
1,2003,Murder,Number,10.0
2,2003,Manslaughter,Number,7.0
3,2003,Infanticide,Number,0.0
4,2003,Dangerous driving leading to death,Number,11.0
5,2003,Sexual offences,Number,575.0
6,2003,Rape of a male or female,Number,105.0
7,2003,Defilement of a boy or girl less than 17 years old,Number,47.0
8,2003,Sexual offence involving mentally impaired person,Number,4.0
9,2003,Aggravated sexual assault,Number,2.0
10,2003,Sexual assault (not aggravated),Number,375.0
11,2003,Other sexual offences,Number,42.0
12,2003,"Attempts/threats to murder, assaults, harassments and related offences",Number,3637.0
13,2003,Murder-attempt,Number,2.0
14,2003,Threat to kill or cause serious harm,Number,9.0
15,2003,Harassment and related offences,Number,347.0
16,2003,"Assault causing harm, poisoning",Number,1144.0
17,2003,Other assault,Number,2135.0
18,2003,Dangerous or negligent acts,Number,2745.0
19,2003,Dangerous driving causing serious bodily harm,Number,4.0
20,2003,Driving/in charge of a vehicle while over legal alcohol limit,Number,2634.0
21,2003,Driving/in charge of a vehicle under the influence of drugs,Number,22.0
22,2003,Endangerment with potential for serious harm/death,Number,16.0
23,2003,"Abandoning a child, child neglect and cruelty",Number,32.0
24,2003,Unseaworthy/dangerous use of boat or ship,Number,0.0
25,2003,False alarm/interference with aircraft or air transport facilities,Number,5.0
26,2003,Endangering traffic offences,Number,32.0
27,2003,Kidnapping and related offences,Number,38.0
28,2003,False imprisonment,Number,31.0
29,2003,Abduction of person under 16 years of age,Number,7.0
30,2003,Human trafficking offences,Number,0.0
31,2003,"Robbery, extortion and hijacking offences",Number,842.0
32,2003,Robbery of an establishment or institution,Number,327.0
33,2003,Robbery of cash or goods in transit,Number,15.0
34,2003,Robbery from the person,Number,474.0
35,2003,Blackmail or extortion,Number,5.0
36,2003,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,21.0
37,2003,Burglary and related offences,Number,6581.0
38,2003,Aggravated burglary,Number,94.0
39,2003,Burglary (not aggravated),Number,6424.0
40,2003,"Possession of an article (with intent to burgle, steal, demand)",Number,63.0
41,2003,Theft and related offences,Number,18408.0
42,2003,Theft/taking of vehicle and related offences,Number,3366.0
43,2003,Theft from person,Number,1640.0
44,2003,Theft from shop,Number,3850.0
45,2003,"Other thefts, handling stolen property",Number,9552.0
46,2003,"Fraud, deception and related offences",Number,1136.0
