Year,Population_Total,Total_Crime
2003,3979900.0,114190.75
2004,4045200.0,116177.5
2005,4133800.0,126370.25
2006,4232900.0,133717.25
2007,4375800.0,140990.0
2008,4485100.0,147335.25
2009,4533400.0,141195.75
2010,4554800.0,134982.25
2011,4574900.0,127361.5
2012,4593700.0,120859.0
2013,4614700.0,113152.75
2014,4645400.0,111611.75
2015,4687800.0,111064.5
2016,4739600.0,98321.0
2017,4810900.0,105558.25
2018,4884900.0,106195.5
2019,4958500.0,110814.25
2020,5029900.0,92458.25
2021,5074700.0,90253.25
2022,5184000.0,103378.0
2023,5281600.0,104843.5
